Vehicle_ID,Mileage_km,Fuel_Consumption_L_per_100km,Engine_Hours,Number_of_Trips,Engine_Temperature_C,Tire_Pressure_PSI,Battery_Voltage_V,Oil_Level_L,Vibration_Units,Noise_Level_dB,Breakdown_Incidents,Part_Replacements,Service_History,MaintenanceRequired
V00001,292082,8.98,5441,1579,94,45.0,11.0,2.05,1.36,96,1,4,3,0
V00002,50899,11.66,11924,1236,111,31.6,14.8,2.9,7.69,74,2,4,3,1
V00003,261136,7.42,4079,803,95,36.2,12.0,2.44,0.9,84,3,4,1,0
V00004,266465,9.46,10911,2399,117,32.9,13.0,3.51,8.12,68,4,2,5,1
V00005,240609,12.12,8852,2486,104,33.9,14.6,3.04,5.01,60,0,8,3,1
V00006,202705,8.32,11533,2129,90,32.5,11.4,3.35,7.85,92,0,1,3,0
V00007,56500,14.96,8354,399,81,31.6,10.4,1.76,4.44,74,1,4,4,0
V00008,193483,6.14,10196,977,100,32.4,11.6,1.09,0.3,60,1,5,0,0
V00009,253983,17.88,8321,303,84,37.6,12.5,3.58,8.43,57,3,3,1,1
V00010,195412,15.81,8251,1412,115,27.4,14.5,1.78,3.9,94,4,8,4,1
V00011,95039,17.23,3787,1326,86,28.7,12.8,3.06,6.51,95,4,7,1,0
V00012,293939,16.15,5343,74,109,38.8,13.4,2.45,7.36,61,0,8,4,1
V00013,274082,14.83,10775,2116,74,41.9,14.7,1.22,4.33,95,4,8,5,0
V00014,57563,14.2,1276,1806,79,20.8,12.3,3.74,4.18,64,1,4,5,0
V00015,86731,16.19,10465,2094,84,21.7,11.5,1.78,5.29,50,1,4,0,1
V00016,88371,17.13,2791,1968,98,27.7,12.9,3.54,8.28,70,0,4,4,1
V00017,182979,12.3,3039,1892,77,38.5,10.5,3.57,9.87,61,2,1,4,1
V00018,83679,17.21,7425,1026,72,33.2,14.1,1.8,4.95,59,3,0,5,0
V00019,171063,14.96,8766,225,73,37.9,10.4,2.83,1.42,82,4,7,4,0
V00020,151705,7.66,7754,721,100,27.5,11.4,2.15,8.92,94,2,6,4,1
V00021,240226,14.33,4711,427,87,40.6,12.1,3.51,6.03,97,1,0,0,1
V00022,138951,17.17,9192,1704,97,40.0,13.6,2.87,7.62,82,0,3,1,1
V00023,294121,15.52,6351,1036,101,23.2,13.6,2.02,2.58,54,2,2,5,0
V00024,78323,15.73,3810,486,114,44.2,12.9,2.94,1.06,57,4,8,1,0
V00025,294717,12.72,10582,539,101,25.9,13.2,1.46,1.53,73,0,5,4,1
V00026,298348,13.38,5727,1936,85,29.8,13.1,4.99,3.93,94,4,2,0,0
V00027,91344,11.94,5997,987,116,40.7,12.1,3.91,3.4,83,4,0,3,1
V00028,223310,12.45,9485,770,88,34.4,12.6,2.22,1.57,89,3,7,3,1
V00029,280367,14.64,8051,1000,91,35.5,13.2,4.45,1.96,63,0,7,5,0
V00030,164977,9.66,844,1656,106,26.0,11.7,4.95,2.24,56,2,5,5,0
V00031,146897,7.73,11664,2036,112,34.6,11.6,1.83,8.68,55,1,7,0,0
V00032,64396,11.93,3338,1558,102,35.7,14.9,2.74,2.5,91,1,3,3,0
V00033,128903,11.2,7786,730,81,36.0,14.2,2.16,8.16,89,4,2,3,1
V00034,217238,14.25,10143,1883,85,43.8,13.5,4.01,6.58,78,0,4,3,0
V00035,114353,10.0,2564,2355,89,25.8,14.9,1.68,0.37,70,0,5,2,0
V00036,127009,13.06,10382,1166,82,23.3,11.6,4.76,4.24,65,0,3,4,0
V00037,76246,14.08,5188,1371,81,25.1,10.2,2.48,6.31,94,1,4,2,1
V00038,94334,11.84,3447,1550,110,25.0,13.1,1.33,3.99,99,3,9,4,1
V00039,236177,11.48,7292,1597,83,42.7,14.1,1.89,9.4,93,2,4,2,1
